institution,date,file_path,gross_loans,credit_impairments,npl_ratio
AFRICAN BANK LIMITED (N),2023-05-01,test_data/BA900_2023-05-01_zipcsv/160571.csv,5767249.0,12212494.0,211.75596892036396
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANCH),2023-05-01,test_data/BA900_2023-05-01_zipcsv/337889.csv,599650.0,499290.0,83.26357041607605
CAPITEC BANK,2023-05-01,test_data/BA900_2023-05-01_zipcsv/333107.csv,8181872.0,20822242.0,254.49239489446916
CITIBANK N.A,2023-05-01,test_data/BA900_2023-05-01_zipcsv/165565.csv,735758.32,175148.32,23.80514297140398
DISCOVERY BANK LIMITED,2023-05-01,test_data/BA900_2023-05-01_zipcsv/165271.csv,5103435.0,459772.0,9.009069381700757
FIRSTRAND BANK LIMITED,2023-05-01,test_data/BA900_2023-05-01_zipcsv/416053.csv,52997090.3181,34855753.5451,65.76918343231341
GBS MUTUAL BANK,2023-05-01,test_data/BA900_2023-05-01_zipcsv/418072.csv,9.0,11636.0,129288.88888888889
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-05-01,test_data/BA900_2023-05-01_zipcsv/535761.csv,11874.0,102902.0,866.6161360956712
INVESTEC BANK LTD,2023-05-01,test_data/BA900_2023-05-01_zipcsv/25054.csv,2079369.0,3282537.0,157.86216876369707
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-05-01,test_data/BA900_2023-05-01_zipcsv/331899.csv,25.0,26168.0,104672.0
NEDBANK LTD,2023-05-01,test_data/BA900_2023-05-01_zipcsv/416088.csv,18410824.0,27884137.0,151.45512770096548
STANDARD CHARTERED BANK,2023-05-01,test_data/BA900_2023-05-01_zipcsv/535788.csv,58589.0,856637.0,1462.112341907184
THE STANDARD BANK OF S A LTD,2023-05-01,test_data/BA900_2023-05-01_zipcsv/416061.csv,42520072.0,47984487.0,112.85137757998152
ABSA BANK LTD,2023-06-01,test_data/BA900_2023-06-01_zipcsv/34118.csv,40799165.0,36612418.0,89.73815518038175
ACCESS BANK (SOUTH AFRICA) LIMITED,2023-06-01,test_data/BA900_2023-06-01_zipcsv/416134.csv,521747.0,60749.0,11.643382712310755
AFRICAN BANK LIMITED (N),2023-06-01,test_data/BA900_2023-06-01_zipcsv/160571.csv,5819011.0,12246597.0,210.45839232818088
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANCH),2023-06-01,test_data/BA900_2023-06-01_zipcsv/337889.csv,681582.0,654320.0,96.00018779838669
CAPITEC BANK,2023-06-01,test_data/BA900_2023-06-01_zipcsv/333107.csv,8311866.0,21086199.0,253.68790834693436
CITIBANK N.A,2023-06-01,test_data/BA900_2023-06-01_zipcsv/165565.csv,359446.5,142942.58,39.76741462220386
DISCOVERY BANK LIMITED,2023-06-01,test_data/BA900_2023-06-01_zipcsv/165271.csv,5125152.0,469080.0,9.152509037780733
FIRSTRAND BANK LIMITED,2023-06-01,test_data/BA900_2023-06-01_zipcsv/416053.csv,52879874.4201,35244975.9293,66.65102047954778
GBS MUTUAL BANK,2023-06-01,test_data/BA900_2023-06-01_zipcsv/418072.csv,9.0,12326.0,136955.55555555556
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-06-01,test_data/BA900_2023-06-01_zipcsv/535761.csv,2059680.0,105803.0,5.136865920919755
INVESTEC BANK LTD,2023-06-01,test_data/BA900_2023-06-01_zipcsv/25054.csv,2045633.0,3260775.0,159.40175974869393
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-06-01,test_data/BA900_2023-06-01_zipcsv/331899.csv,36.0,25708.0,71411.11111111111
NEDBANK LTD,2023-06-01,test_data/BA900_2023-06-01_zipcsv/416088.csv,18302693.0,28234272.0,154.26293824630068
STANDARD CHARTERED BANK,2023-06-01,test_data/BA900_2023-06-01_zipcsv/535788.csv,277495.0,861023.0,310.2841492639507
THE STANDARD BANK OF S A LTD,2023-06-01,test_data/BA900_2023-06-01_zipcsv/416061.csv,42831145.0,48737969.0,113.79095515658058
ABSA BANK LTD,2023-07-01,test_data/BA900_2023-07-01_zipcsv/34118.csv,41001098.0,37122207.0,90.5395435995397
ACCESS BANK (SOUTH AFRICA) LIMITED,2023-07-01,test_data/BA900_2023-07-01_zipcsv/416134.csv,460269.0,56685.0,12.315624124153485
